log_level_desc,log_level,error_code,event_desc
alert,1,211004,"WARNING: Minimum Memory Requirement for ASA version ver not met for ASA image. min MB required, actual MB found."
alert,n,216001,internal error in: function: message 
alert,1,216005,ERROR: Duplex-mismatch on interface_name resulted in transmitter lockup. A soft reset of the switch was performed.
alert,1,323006,"Module in slot slot experienced a data channel communication failure, data channel is DOWN."
alert,1,332004,Web Cache IP_address/service_ID lost 
alert,1,413005,"prod_id Module in slot slot, application is not supported app_name version app_vers type app_type"
alert,1,505011,Type Module in slot slot data channel communication is UP.
alert,1,505014,"prod_id Module in slot slot, application down name, version version reason"
alert,1,505015,"SSM model Module in slot number, application up application, version version"
alert,1,709003,(Primary) Beginning configuration replication: Sending to mate.
alert,1,709004,(Primary) End Configuration Replication (ACT)
alert,1,709005,(Primary) Beginning configuration replication: Receiving from mate.
alert,1,709006,(Primary) End Configuration Replication (STB)
alert,1,716507,"Fiber scheduler has reached unreachable code. Cannot continue, terminating."
alert,1,716508,internal error in: function: Fiber scheduler is scheduling rotten fiber. Cannot continuing terminating
alert,1,716509,internal error in: function: Fiber scheduler is scheduling alien fiber. Cannot continue terminating
alert,1,716510,internal error in: function: Fiber scheduler is scheduling finished fiber. Cannot continue terminating
alert,1,716516,internal error in: function: OCCAM has corrupted ROL array. Cannot continue terminating
alert,1,716519,internal error in: function: OCCAM has corrupted pool list. Cannot continue terminating
alert,1,716528,Unexpected fiber scheduler error; possible out-of-memory condition
alert,1,717049,Local CA Server certificate is due to expire in number days and a replacement certificate is available for export.
alert,1,735001,Cooling Fan var1: OK 
alert,1,735002,Cooling Fan var1: Failure Detected 
alert,1,735003,Power Supply var1: OK 
alert,1,735004,Power Supply var1: Failure Detected 
alert,1,735005,Power Supply Unit Redundancy OK 
alert,1,735006,Power Supply Unit Redundancy Lost 
alert,1,735007,"CPU var1: Temp: var2 var3, Critical"
critical,2,106001,Inbound TCP connection denied from IP_address/port to IP_address/port flags tcp_flags on interface interface_name
critical,2,106002,protocol Connection denied by outbound list acl_ID src inside_address dest outside_address
critical,2,106006,Deny inbound UDP from outside_address/outside_port to inside_address/inside_port on interface interface_name.
critical,2,106007,Deny inbound UDP from outside_address/outside_port to inside_address/inside_port due to DNS {Response|Query}.
critical,2,106013,Dropping echo request from IP_address to PAT address IP_address
critical,2,106016,Deny IP spoof from (IP_address) to IP_address on interface interface_name.
critical,2,106017,Deny IP due to Land Attack from IP_address to IP_address
critical,2,106018,ICMP packet type ICMP_type denied by outbound list acl_ID src inside_address dest outside_address
critical,2,106020,"Deny IP teardrop fragment (size = number, offset = number) from IP_address to IP_address"
critical,2,106024,Access rules memory exhausted
critical,2,108002,SMTP replaced string: out source_address in inside_address data: string
critical,2,108003,Terminating ESMTP/SMTP connection; malicious pattern detected in the mail address from source_interface:source_address/source_port to dest_interface:dest_address/dset_port. Data:string
critical,2,109011,"Authen Session Start: user 'user', sid number"
critical,2,112001,(string:dec) Clear complete.
critical,2,113022,AAA Marking RADIUS server servername in aaa-server group AAA-Using-DNS as FAILED
critical,2,113023,AAA Marking protocol server ip-addr in server group tag as ACTIVE
critical,2,115000,"Critical assertion in process: process name fiber: fiber name, component: component name, subcomponent: subcomponent name, file: filename, line: line number, cond: condition"
critical,2,199011,"Close on bad channel in process/fiber process/fiber, channel ID p, channel state s process/fiber name of the process/fiber that caused the bad channel close operation."
critical,2,201003,Embryonic limit exceeded nconns/elimit for outside_address/outside_port (global_address) inside_address/inside_port on interface interface_name
critical,2,214001,Terminating manager session from IP_address on interface interface_name. Reason: incoming encrypted data (number bytes) longer than number bytes
critical,2,215001,"Bad route_compress() call, sdb= number"
critical,2,216001,internal error in: function: message
critical,2,217001,No memory for string in string
critical,2,218001,Failed Identification Test in slot# [fail#/res].
critical,2,218002,"Module (slot#) is a registered proto-type for Cisco Lab use only, and not certified for live network operation."
critical,2,218003,"Module Version in slot# is obsolete. The module in slot = slot# is obsolete and must be returned via RMA to Cisco Manufacturing. If it is a lab unit, it must be returned to Proto Services for upgrade."
critical,2,218004,Failed Identification Test in slot# [fail#/res]
critical,2,304007,"URL Server IP_address not responding, ENTERING ALLOW mode."
critical,2,304008,"LEAVING ALLOW mode, URL Server is up."
critical,2,410002,Dropped num DNS responses with mis-matched id in the past sec second(s): from src_ifc:sip/sport to dest_ifc:dip/dport
critical,2,444004,Temporary license key key has expired. Applying permanent license key permkey 
critical,2,444007,"Timebased activation key activation-key has expired. Reverting to [permanent |timebased] license key. The following features will be affected: feature, feature"
critical,2,444102,Shared license service inactive. License server is not responding
critical,2,444105,Released value shared proto license(s). License server has been unreachable for 24 hours
critical,2,444111,Shared license backup service has been terminated due to the primary license server address being unavailable for more than days days. The license server needs to be brought back online to continue using shared licensing.
critical,2,709007,Configuration replication failed for command command 
critical,2,713078,"Temp buffer for building mode config attributes exceeded: bufsize available_size, used value"
critical,2,713176,"Device_type memory resources are critical, IKE key acquire message on interface interface_number, for Peer IP_address ignored"
critical,2,716500,internal error in: function: Fiber library cannot locate AK47 instance 
critical,2,716501,internal error in: function: Fiber library cannot attach AK47 instance 
critical,2,716502,internal error in: function: Fiber library cannot allocate default arena 
critical,2,716503,internal error in: function: Fiber library cannot allocate fiber descriptors pool 
critical,2,716504,internal error in: function: Fiber library cannot allocate fiber stacks pool
critical,2,716505,internal error in: function: Fiber has joined fiber in unfinished state 
critical,2,716506,UNICORN_SYSLOGID_JOINED_UNEXPECTED_FIBER 
critical,2,716512,internal error in: function: Fiber has joined fiber waited upon by someone else 
critical,2,716513,internal error in: function: Fiber in callback blocked on other channel
critical,2,716515,internal error in: function: OCCAM failed to allocate memory for AK47 instance 
critical,2,716517,internal error in: function: OCCAM cached block has no associated arena 
critical,2,716518,internal error in: function: OCCAM pool has no associated arena 
critical,2,716520,internal error in: function: OCCAM pool has no block list
critical,2,716521,internal error in: function: OCCAM no realloc allowed in named pool 
critical,2,716522,internal error in: function: OCCAM corrupted standalone block 
critical,2,716525,UNICORN_SYSLOGID_SAL_CLOSE_PRIVDATA_CHANGED 
critical,2,716526,UNICORN_SYSLOGID_PERM_STORAGE_SERVER_LOAD_FAIL 
critical,2,716527,UNICORN_SYSLOGID_PERM_STORAGE_SERVER_STORE_FAI 
critical,2,717008,Insufficient memory to process_requiring_memory.
critical,2,717011,Unexpected event event event_ID
critical,2,717040,Local CA Server has failed and is being disabled. Reason: reason.
critical,2,735009,IPMI: Environment Monitoring has failed initialization and configuration. Environment Monitoring is not running.
critical,2,736001,Unable to allocate enough memory at boot for jumbo-frame reservation. Jumbo-frame support has been disabled.
errors,3,105010,(Primary) Failover message block alloc failed
errors,3,106010,Deny inbound protocol src interface_name:dest_address/dest_port dst interface_name:source_address/source_port
errors,3,106011,Deny inbound (No xlate) string 
errors,3,106014,"Deny inbound icmp src interface_name: IP_address dst interface_name: IP_address (type dec, code dec)"
errors,3,109010,Auth from inside_address/inside_port to outside_address/outside_port failed (too many pending auths) on interface interface_name.
errors,3,109013,User must authenticate before using this service
errors,3,109016,Can't find authorization ACL acl_ID for user 'user'
errors,3,109018,Downloaded ACL acl_ID is empty
errors,3,109019,Downloaded ACL acl_ID has parsing error; ACE string
errors,3,109020,Downloaded ACL has config error; ACE
errors,3,109023,User from source_address/source_port to dest_address/dest_port on interface outside_interface must authenticate before using this service.
errors,3,109026,[aaa protocol] Invalid reply digest received; shared server key may be mismatched.
errors,3,109032,"Unable to install ACL access_list, downloaded for user username; Error in ACE: ace."
errors,3,109035,Exceeded maximum number (999) of DAP attribute instances for user = string.
errors,3,113001,Unable to open AAA session. Session limit [limit] reached.
errors,3,113018,"User: user, Unsupported downloaded ACL Entry: ACL_entry, Action: action"
errors,3,113020,Kerberos error: Clock skew with server ip_address greater than 300 seconds
errors,3,114006,Failed to get port statistics in 4GE SSM I/O card (error error_string).
errors,3,114007,Failed to get current msr in 4GE SSM I/O card (error error_string).
errors,3,114008,Failed to enable port after link is up in 4GE SSM I/O card due to either I2C serial bus access error or switch access error.
errors,3,114009,Failed to set multicast address in 4GE SSM I/O card (error error_string). 
errors,3,114010,Failed to set multicast hardware address in 4GE SSM I/O card (error error_string).
errors,3,114011,Failed to delete multicast address in 4GE SSM I/O card (error error_string).
errors,3,114012,Failed to delete multicast hardware address in 4GE SSM I/O card (error error_string).
errors,3,114013,Failed to set mac address table in 4GE SSM I/O card (error error_string). 
errors,3,114014,Failed to set mac address in 4GE SSM I/O card (error error_string). 
errors,3,114015,Failed to set mode in 4GE SSM I/O card (error error_string). 
errors,3,114016,Failed to set multicast mode in 4GE SSM I/O card (error error_string).
errors,3,114017,Failed to get link status in 4GE SSM I/O card (error error_string). 
errors,3,114018,Failed to set port speed in 4GE SSM I/O card (error error_string). 
errors,3,114019,Failed to set media type in 4GE SSM I/O card (error error_string). 
errors,3,114020,Port link speed is unknown in 4GE SSM I/O card.
errors,3,114021,Failed to set multicast address table in 4GE SSM I/O card due to error.
errors,3,114022,Failed to pass broadcast traffic in 4GE SSM I/O card due to error_string
errors,3,115001,"Error in process: process name fiber: fiber name, component: component name, subcomponent: subcomponent name, file: filename, line: line number, cond: condition."
errors,3,120010,Notify command command to SCH client client failed. Reason reason.
errors,3,201002,Too many TCP connections on {static|xlate} global_address! econns nconns
errors,3,201004,Too many UDP connections on {static|xlate} global_address! udp connections limit
errors,3,201005,FTP data connection failed for IP_address IP_address
errors,3,201006,RCMD backconnection failed for IP_address/port.
errors,3,201008,Disallowing new connections.
errors,3,201009,TCP connection limit of number for host IP_address on interface_name exceeded
errors,3,201010,Embryonic connection limit exceeded econns/limit for dir packet from source_address/source_port to dest_address/dest_port on interface interface_name
errors,3,201011,Connection limit exceeded cnt/limit for dir packet from sip/sport to dip/dport on interface if_name.
errors,3,201013,Per-client connection limit exceeded curr num/limit for [input|output] packet from ip/port to ip/port on interface interface_name
errors,3,202001,Out of address translation slots!
errors,3,202005,Non-embryonic in embryonic list outside_address/outside_port inside_address/inside_port
errors,3,202011,Connection limit exceeded econns/limit for dir packet from source_address/source_port to dest_address/dest_port on interface interface_name
errors,3,208005,(function:line_num) clear command return code 
errors,3,210001,LU sw_module_name error = number 
errors,3,210002,LU allocate block (bytes) failed. 
errors,3,210003,Unknown LU Object number
errors,3,210005,LU allocate connection failed 
errors,3,210006,LU look NAT for IP_address failed 
errors,3,210007,LU allocate xlate failed 
errors,3,210008,LU no xlate for inside_address/inside_port outside_address/outside_port
errors,3,210010,LU make UDP connection for outside_address:outside_port inside_address:inside_port failed
errors,3,210011,Connection limit exceeded cnt/limit for dir packet from sip/sport to dip/dport on
errors,3,210020,LU PAT port port reserve failed
errors,3,210021,LU create static xlate global_address ifc interface_name failed
errors,3,211001,Memory allocation Error
errors,3,211003,Error in computed percentage CPU usage value
errors,3,212001,LU sw_module_name error = number
errors,3,212002,LU allocate block (bytes) failed.
errors,3,212003,"code, will try again. Unable to receive an SNMP request on interface interface_number, error code ="
errors,3,212004,"Unable to send an SNMP response to IP Address IP_address Port port interface interface_number, error code = code"
errors,3,212005,"incoming SNMP request (number bytes) on interface interface_name exceeds data buffer size, discarding this SNMP request."
errors,3,212006,Dropping SNMP request from src_addr/src_port to ifc:dst_addr/dst_port because: reason username.
errors,3,212010,Configuration request for SNMP user %s failed. Host %s reason. 
errors,3,212011,SNMP engineBoots is set to maximum value. Reason: %s User intervention necessary. 
errors,3,212012,Unable to write SNMP engine data to persistent storage. 
errors,3,213001,"PPTP control daemon socket io string, errno = number. "
errors,3,213002,"PPTP tunnel hashtable insert failed, peer = IP_address. "
errors,3,213003,PPP virtual interface interface_number isn't opened. 
errors,3,213004,PPP virtual interface interface_number client ip allocation failed. 
errors,3,216001,internal error in: function: message
errors,3,216002,"Unexpected event (major: major_id, minor: minor_id) received by task_string in function at line: line_num"
errors,3,216003,"Unrecognized timer timer_ptr, timer_id received by task_string in function at line: line_num"
errors,3,219002,"I2C_API_name error, slot = slot_number, device = device_number, address = address, byte count = count. Reason: reason_string"
errors,3,302019,"H.323 library_name ASN Library failed to initialize, error code number "
errors,3,302302,ACL = deny; no sa created 
errors,3,304003,URL Server IP_address timed out URL url 
errors,3,304006,URL Server IP_address not responding
errors,3,305005,No translation group found for protocol src interface_name: source_address/source_port dst interface_nam: dest_address/dest_port
errors,3,305006,{outbound static|identity|portmap|regular) translation creation failed for protocol src interface_name:source_address/source_port dst interface_name:dest_address/dest_port
errors,3,305008,Free unallocated global IP address. 
errors,3,313001,"Denied ICMP type=number, code=code from IP_address on interface interface_name"
errors,3,313008,"Denied ICMPv6 type=number, code=code from IP_address on interface interface_name"
errors,3,315004,Fail to establish SSH session because RSA host key retrieval failed. 
errors,3,316001,Denied new tunnel to IP_address. VPN peer limit (platform_vpn_peer_limit) exceeded
errors,3,316002,"VPN Handle error: protocol=protocol, src in_if_num:src_addr, dst out_if_num:dst_addr"
errors,3,317001,No memory available for limit_slow
errors,3,317002,"Bad path index of number for IP_address, number max"
errors,3,317003,IP routing table creation failure - reason
errors,3,317004,IP routing table limit warning
errors,3,317005,"IP routing table limit exceeded - reason, IP_address netmask"
errors,3,317006,"Pdb index error pdb, pdb_index, pdb_type"
errors,3,318001,Internal error: reason
errors,3,318002,Flagged as being an ABR without a backbone area
errors,3,318003,Reached unknown state in neighbor state machine
errors,3,318004,area string lsid IP_address mask netmask adv IP_address type number
errors,3,318005,lsid ip_address adv IP_address type number gateway gateway_address metric number network IP_address mask netmask protocol hex attr hex net-metric number
errors,3,318006,if interface_name if_state number
errors,3,318007,OSPF is enabled on interface_name during idb initialization
errors,3,318008,OSPF process number is changing router-id. Reconfigure virtual link neighbors with our new router-id
errors,3,318009,"OSPF: Attempted reference of stale data encountered in function, line: line_num"
errors,3,319001,Acknowledge for arp update for IP address dest_address not received (number). 
errors,3,319002,Acknowledge for route update for IP address dest_address not received (number). 
errors,3,319003,Arp update for IP address address to NPn failed. 
errors,3,319004,Route update for IP address dest_address failed (number).
errors,3,320001,The subject name of the peer cert is not allowed for connection
errors,3,322001,"Deny MAC address MAC_address, possible spoof attempt on interface interface"
errors,3,322002,"ARP inspection check failed for arp {request|response} received from host MAC_address on interface interface. This host is advertising MAC Address MAC_address_1 for IP Address IP_address, which is {statically|dynamically} bound to MAC Address MAC_address_2."
errors,3,322003,"ARP inspection check failed for arp {request|response} received from host MAC_address on interface interface. This host is advertising MAC Address MAC_address_1 for IP Address IP_address, which is not bound to any MAC Address."
errors,3,323001,Module in slot slotnum experienced a control channel communications failure.
errors,3,323002,"Module in slot slotnum is not able to shut down, shut down request not answered."
errors,3,323003,"Module in slot slotnum is not able to reload, reload request not answered."
errors,3,323004,"Module in slot slotnum failed to write software vnewver (currently vver), reason. Hw-module reset is required before further use."
errors,3,323005,Module in slot slotnum can not be powered on completely
errors,3,324000,Drop GTPv version message msg_type from source_interface:source_address/source_port to dest_interface:dest_address/dest_port Reason: reason
errors,3,324001,"GTPv0 packet parsing error from source_interface:source_address/source_port to dest_interface:dest_address/dest_port, TID: tid_value, Reason: reason"
errors,3,324002,"No PDP[MCB] exists to process GTPv0 msg_type from source_interface:source_address/source_port to dest_interface:dest_address/dest_port, TID: tid_value"
errors,3,324003,No matching request to process GTPv version msg_type from source_interface:source_address/source_port to source_interface:dest_address/dest_port
errors,3,324004,GTP packet with version%d from source_interface:source_address/source_port to dest_interface:dest_address/dest_port is not supported
errors,3,324005,Unable to create tunnel from source_interface:source_address/source_port to dest_interface:dest_address/dest_port
errors,3,324006,"GSN IP_address tunnel limit tunnel_limit exceeded, PDP Context TID tid failed "
errors,3,324007,Unable to create GTP connection for response from: source_address/0 to dest_address/dest_port
errors,3,324301,"Radius Accounting Request has a bad header length hdr_len, packet length pkt_len"
errors,3,325001,Router ipv6_address on interface has conflicting ND (Neighbor Discovery) settings
errors,3,326001,Unexpected error in the timer library: error_message 
errors,3,326002,Error in error_message: error_message 
errors,3,326004,An internal error occurred while processing a packet queue
errors,3,326005,"Mrib notification failed for (IP_address, IP_address) "
errors,3,326006,"Entry-creation failed for (IP_address, IP_address) "
errors,3,326007,"Entry-update failed for (IP_address, IP_address) "
errors,3,326008,MRIB registration failed
errors,3,326009,MRIB connection-open failed 
errors,3,326010,MRIB unbind failed 
errors,3,326011,MRIB table deletion failed 
errors,3,326012,Initialization of string functionality failed 
errors,3,326013,Internal error: string in string line %d (%s) 
errors,3,326014,Initialization failed: error_message error_message 
errors,3,326015,Communication error: error_message error_message 
errors,3,326016,Failed to set un-numbered interface for interface_name (string) 
errors,3,326017,Interface Manager error - string in string: string
errors,3,326019,string in string: string
errors,3,326020,List error in string: string
errors,3,326021,Error in string: string
errors,3,326022,Error in string: string
errors,3,326023,string - IP_address: string
errors,3,326024,An internal error occurred while processing a packet queue.
errors,3,326025,string
errors,3,326026,Server unexpected error: error_message
errors,3,326027,Corrupted update: error_message
errors,3,326028,Asynchronous error: error_message
errors,3,327001,IP SLA Monitor: Cannot create a new process
errors,3,327002,"IP SLA Monitor: Failed to initialize, IP SLA Monitor functionality will not work"
errors,3,327003,IP SLA Monitor: Generic Timer wheel timer functionality failed to initialize
errors,3,328001,Attempt made to overwrite a set stub function in string.
errors,3,329001,The string0 subblock named string1 was not removed
errors,3,331001,Dynamic DNS Update for 'fqdn_name' = ip_address failed
errors,3,332001,"Unable to open cache discovery socket, WCCP V2 closing down."
errors,3,332002,"Unable to allocate message buffer, WCCP V2 closing down."
errors,3,336001,Route desination_network stuck-in-active state in EIGRP-ddb_name as_num. Cleaning up
errors,3,336002,Handle handle_id is not allocated in pool. 
errors,3,336003,No buffers available for bytes byte packet 
errors,3,336004,Negative refcount in pakdesc pakdesc. 
errors,3,336005,"Flow control error, error, on interface_name. "
errors,3,336006,num peers exist on IIDB interface_name.
errors,3,336007,Anchor count negative 
errors,3,336008,"Lingering DRDB deleting IIDB, dest network, nexthop address (interface), origin origin_str"
errors,3,336009,ddb_name as_id: Internal Error
errors,3,337001,Phone Proxy SRTP: Encryption failed on packet from in_ifc:src_ip/src_port to out_ifc:dest_ip/dest_port
errors,3,337002,Phone Proxy SRTP: Decryption failed on packet from in_ifc:src_ip/src_port to out_ifc:dest_ip/dest_port
errors,3,337003,Phone Proxy SRTP: Authentication tag generation failed on packet from in_ifc:src_ip/src_port to out_ifc:dest_ip/dest_port
errors,3,337005,Phone Proxy SRTP: Media session not found for media_term_ip/media_term_port for packet from in_ifc:src_ip/src_port to out_ifc:dest_ip/dest_port
errors,3,337006,Phone Proxy SRTP: Failed to sign file filename requested by UDP client cifc:caddr/cport for sifc:saddr/sport
errors,3,337007,Phone Proxy SRTP: Failed to find configuration file filename for UDP client cifc:caddr/cport by server sifc:saddr/sport
errors,3,337008,Phone Proxy: Unable to allocate media port from media-termination address phone_proxy_ifc:media_term_IP for client_ifc:client_IP/client_port; call failed.
errors,3,337009,"Unable to create secure phone entry, interface:IPaddr is already configured for the same MAC mac_addr."
errors,3,338305,Failed to download dynamic filter data file from updater server url
errors,3,338306,Failed to authenticate with dynamic filter updater server url
errors,3,338307,Failed to decrypt downloaded dynamic filter database file
errors,3,338308,Dynamic filter updater server dynamically changed from old_server_host: old_server_port to new_server_host: new_server_port
errors,3,338309,The license on this ASA does not support dynamic filter updater feature.
errors,3,338310,"Failed to update from dynamic filter updater server url, reason: reason string"
errors,3,339001,"UC-IME-SIG: Ticket not found in SIP %s from %s:%A/%d to %s:%A/%d, packet dropped"
errors,3,339002,"UC-IME-SIG: Invalid ticket in SIP %s from %s:%A/%d to %s:%A/%d, packet dropped, %s"
errors,3,339003,"UC-IME-SIG: Non-dialog forming SIP %s received from %s:%A/%d to %s:%A/%d, packet dropped"
errors,3,339004,"UC-IME-SIG: Dropping SIP %s received from %s:%A/%d to %s:%A/%d, route header validation failed, %s"
errors,3,339005,"UC-IME-SIG: Message received from %s:%A/%d to %s:%A/%d does not contain SRTP, message dropped"
errors,3,339006,"UC-IME-Offpath: Failed to map remote UCM address %A:%d on %s interface, request from local UCM %A:%d on %s interface, reason %s"
informational,6,339007,"UC-IME-Offpath: Mapped address %A:%d on %s interface for remote UCM %A:%d on %s interface, request from local UCM %A:%d on %s interface"
informational,6,339008,"UC-IME-Media: Media session with Call-ID %s and Session-ID %s terminated. RTP monitoring parameters: Failover state: %s, Refer msgs sent: %d, Codec payload format: %s, RTP ptime (ms): %d, Max RBLR pct( x100): %d, Max ITE count in 8 secs: %d, Max BLS (ms): %d, Max span PDV (usec): %d, Min span PDV (usec): %d, Mov avg span PDV (usec): %d, Total ITE count: %d, Total sec count: %d, Concealed sec count: %d, Severely concealed sec count: %d, Max call interval (ms): %d"
informational,6,339009,UC-IME: Ticket Password changed. Please update the same on UC-IME server. 
errors,3,403501,PPPoE - Bad host-unique in PADO - packet dropped. Intf:interface_name AC:ac_name
errors,3,403502,PPPoE - Bad host-unique in PADS - dropping packet. Intf:interface_name AC:ac_name
errors,3,403503,PPPoE:PPP link down:reason
errors,3,403504,PPPoE:No 'vpdn group group_name' for PPPoE is created
errors,3,403507,PPPoE:PPPoE client on interface interface failed to locate PPPoE vpdn group group_name
errors,3,404102,ISAKMP: Exceeded embryonic limit 
errors,3,414001,Failed to save logging buffer using file name filename to FTP server ftp_server_address on interface interface_name: [fail_reason]
errors,3,414002,Failed to save logging buffer to flash:/syslog directory using file name: filename: [fail_reason]
errors,3,414003,TCP Syslog Server intf: IP_Address/port not responding. New connections are [permitted|denied] based on logging permit-hostdown policy.
errors,3,420001,"IPS card not up and fail-close mode used, dropping ICMP packet ifc_in:SIP to ifc_out:DIP (typeICMP_TYPE, code ICMP_CODE)"
errors,3,420006,"Virtual Sensor not present and fail-close mode used, dropping protocol packet from ifc_in:SIP/SPORT to ifc_out:DIP/DPORT\n"
errors,3,421001,TCP|UDP flow from interface_name:ip/port to interface_name:ip/port is dropped because application has failed.
errors,3,421003,Invalid data plane encapsulation. 
errors,3,421007,TCP|UDP flow from interface_name:IP_address/port to interface_name:IP_address/port is skipped because application has failed.
errors,3,505016,prod_id Module in slot slot application changed from: name version version state state to: name version state state.
errors,3,500005,connection terminated from in_ifc_name:src_adddress/src_port to out_ifc_name:dest_address/dest_port due to invalid combination of inspections on same flow. Inspect inspect_name is not compatible with inspect inspect_name_2
errors,3,507003,"The flow of type protocol from the originating interface: src_ip/src_port to dest_if:dest_ip/dest_port terminated by inspection engine, reason"
errors,3,610001,NTP daemon interface interface_name: Packet denied from IP_address 
errors,3,610002,NTP daemon interface interface_name: Authentication failed for packet from IP_address
errors,3,611313,VPN Client: Backup Server List Error: reason
errors,3,702305,IPSEC: An direction tunnel_type SA (SPI=spi) between local_IP and remote_IP (username) is rekeying due to sequence number rollover.
errors,3,702307,IPSEC: An direction tunnel_type SA (SPI=spi) between local_IP and remote_IP (username) is rekeying due to data rollover.
errors,3,710003,{TCP|UDP} access denied by ACL from source_IP/source_port to interface_name:dest_IP/service
errors,3,713008,Key ID in ID payload too big for pre-shared IKE tunnel
errors,3,713009,OU in DN in ID payload too big for Certs IKE tunnel
errors,3,713012,Unknown protocol (protocol). Not adding SA w/spi=SPI value
errors,3,713014,Unknown Domain of Interpretation (DOI): DOI value
errors,3,713016,"Unknown identification type, Phase 1 or 2, Type ID_Type "
errors,3,713017,"Identification type not supported, Phase 1 or 2, Type ID_Type "
errors,3,713018,"Unknown ID type during find of group name for certs, Type ID_Type "
errors,3,713020,No Group found by matching OU(s) from ID payload: OU_value 
errors,3,713022,No Group found matching peer_ID or IP_address for Pre-shared key peer
errors,3,713032,Received invalid local Proxy Range IP_address - IP_address 
errors,3,713033,Received invalid remote Proxy Range IP_address - IP_address 
errors,3,713042,"IKE Initiator unable to find policy: Intf interface_number, Src: source_address,"
errors,3,713043,Cookie/peer address IP_address session already in progress 
errors,3,713048,Error processing payload: Payload ID: id 
errors,3,713056,Tunnel rejected: SA (SA_name) not found for group (group_name)! 
errors,3,713059,"Tunnel Rejected: User (user) matched with group name, group-lock check failed. "
errors,3,713060,"Tunnel Rejected: User (user) not member of group (group_name), group-lock"
errors,3,713061,"Tunnel rejected: Crypto Map Policy not found for Src:source_address, Dst:"
errors,3,713062,IKE Peer address same as our interface address IP_address 
errors,3,713063,IKE Peer address not configured for destination IP_address 
errors,3,713065,IKE Remote Peer did not negotiate the following: proposal attribute 
errors,3,713072,"Password for user (user) too long, truncating to number characters "
errors,3,713081,Unsupported certificate encoding type encoding_type 
errors,3,713082,Failed to retrieve identity certificate Invalid certificate handle 
errors,3,713083,Received invalid phase 1 port value (port) in ID payload 
errors,3,713084,Received invalid phase 1 protocol (protocol) in ID payload
errors,3,713085,Received invalid phase 1 protocol (protocol) in ID payload
errors,3,713086,method (auth numerical value))
errors,3,713088,Set Cert file handle failure: no IPSec SA in group group_name 
errors,3,713098,Aborting: No identity cert specified in IPSec SA (SA_name)! 
